ID,Preconditions,Secure Coding Guidelines,CWE-IDs,content
M1,The code unit must read serialized data,The code unit should validate the serialized data before deserializing them,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
M2,The code unit must store serialized data,The code unit should use cryptography signatures after serializing data,502,deserialized data or code can often be modified without using the provided accessor functions if it does not use cryptography to protect itself. Furthermore; any cryptography would still be client-side security -- which is a dangerous security assumption.
M3,The code unit must read serialized data,The code unit should validate the integrity of serialized data before deserializing them,502,deserialized data or code can often be modified without using the provided accessor functions if it does not use cryptography to protect itself. Furthermore; any cryptography would still be client-side security -- which is a dangerous security assumption.
M4,The code unit must read serialized data,The code unit should have restrictions on gadget chains before deserializing data,502,"When developers place no restrictions on ""gadget chains;"" or series of instances and method invocations that can self-execute during the deserialization process (i.e.; before the object is returned to the caller); it is sometimes possible for attackers to leverage them to perform unauthorized actions; like generating a shell."
M5,The code unit must read serialized data,The code unit should populates a new instance when deserializing an object,502,When deserializing data; populate a new object rather than just deserializing. The result is that the data flows through safe input validation and that the functions are safe.
M6,The code unit must subclass a serializable class that prevents subclasses to be deserialized,The code unit should explicitly define a final object() to prevent deserialization,502,Explicitly define a final object() to prevent deserialization.
M7,The code unit must be deserializable and has fields that should not be deserialized,The code unit should not deserialize protected fields,502,Make fields transient to protect them from deserialization. An attempt to serialize and then deserialize a class containing transient fields will result in NULLs where the transient data should be. This is an excellent way to prevent time; environment-based; or sensitive variables from being carried over and used improperly.
M8,The code unit is not meant to be deserialized,The code unit should cannot be deserialized,502,Avoid having unnecessary types or gadgets available that can be leveraged for malicious ends. This limits the potential for unintended or unauthorized types and gadgets to be leveraged by the attacker.
M9,The code unit must read serialized data,The code unit should deserialize only acceptable classes,502,Add only acceptable classes to an allowlist. Note: new gadgets are constantly being discovered; so this alone is not a sufficient mitigation.
M10,The code unit must read serialized data,The code unit should verify whether the serialized data have been replaced,502,An attacker may be able to replace the intended file with a file that contains arbitrary malicious code which will be executed when the button is pressed.
M11,The code unit must transmit authentication credentials,The code unit should prevent unauthorized access to transmitted credentials,522,The product transmits or stores authentication credentials; but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.
M12,The code unit must store authentication credentials,The code unit should prevent unauthorized access to stored credentials,522,The product transmits or stores authentication credentials; but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.
M13,The code unit must involve authentication credentials,The code unit should use a security mechanism to protect credentials,522,Use an appropriate security mechanism to protect the credentials.
M14,The code unit must involve authentication credentials,The code unit should protects credentials through industry standards (e.g. LDAP; keystore; etc.),522,Use industry standards to protect the credentials (e.g. LDAP; keystore; etc.).
M15,The code unit must involve protected objects,The code unit should ensures the requesting user is authorized to access a protected object,522,While the code confirms that the requesting user typed the same new password twice; it does not confirm that the user requesting the password change is the same user whose password will be changed.
M16,The code unit must involve a configuration file with sensitive data,The code unit should protects the accesses to configuration files ,522,anyone who has access to config.properties can read the value of password. If a devious employee has access to this information; they can use it to break into the system.
M17,The code unit must involve a registry key with sensitive data,The code unit should protects the accesses to registry keys ,522,anyone who has access to the registry key used to store the password can read the value of password. If a devious employee has access to this information; they can use it to break into the system
M18,The code unit must store passwords,The code unit should not store passwords with compression,522,Because a compression algorithm is used instead of a one way hashing algorithm; an attacker can recover compressed passwords stored in the database.
M19,The configuration file must contains sensitive data,The code unit should not store username and passwords in configurations files in cleartext,522,Username and password information should not be included in a configuration file or a properties file in cleartext as this will allow anyone who can read the file access to the resource.
M20,The code unit must dereference a pointer,The code unit should ensures a pointer is not NULL before dereferencing it,476,The product dereferences a pointer that it expects to be valid but is NULL.
M21,The code unit must receive data from an external source,The code unit should validate external data before assigning to variables or storing them,476,Identify all variables and data stores that receive information from external sources; and apply input validation to make sure that they are only initialized to expected values.
